question	answer	keywords
How do I put the filters back in my dishwasher?	Place the Lower Filter under the tabs at the bottom of the dishwasher. Then, insert the Upper Filter Assembly into the Lower Filter and turn it clockwise until it locks in place.	Counter({'howdoiputthefiltersbackinmydishwasher': 1})
What should I do if the Upper Filter does not seem locked in?	If the Upper Filter spins freely, keep turning it clockwise until it drops and locks into place. Make sure it’s secured before running the dishwasher.	Counter({'whatshouldidoiftheupperfilterdoesnotseemlockedin': 1})
How do I clean the outside of my dishwasher?	Use a soft, damp cloth with mild detergent to clean the exterior. For stainless steel surfaces, use a recommended stainless steel cleaner.	Counter({'howdoicleantheoutsideofmydishwasher': 1})
What is the best way to clean the inside of my dishwasher?	Clean the inside with a paste of powdered dishwasher detergent and water. You can also use liquid detergent on a damp sponge.	Counter({'whatisthebestwaytocleantheinsideofmydishwasher': 1})
How can I remove stains or white spots inside my dishwasher?	Pour 2 cups of white vinegar into a glass on the bottom rack. Run a complete wash cycle without detergent. This can help remove spots.	Counter({'howcaniremovestainsorwhitespotsinsidemydishwasher': 1})
Is it safe to use vinegar in my dishwasher often?	Vinegar can help with stains, but using it too often could damage your dishwasher. Use it occasionally instead of every wash.	Counter({'isitsafetousevinegarinmydishwasheroften': 1})
What is the maintenance procedure for hard water stains?	Use a monthly maintenance cleaner like affresh® Dishwasher Cleaner. Load your dishwasher with soiled dishes, place the tablet in the detergent dispenser, and select an appropriate wash cycle.	Counter({'whatisthemaintenanceprocedureforhardwaterstains': 1})
Should I use regular detergent for maintenance cleaning?	For maintenance cleaning with products like affresh®, use the cleaning tablet instead of regular detergent.	Counter({'shouldiuseregulardetergentformaintenancecleaning': 1})
How can I tell if my dishwasher isn’t draining well?	If you notice water left at the bottom or if your dishes are wet after a wash, it may not be draining well. Check the drain air gap if you have one.	Counter({'howcanitellifmydishwasherisntdrainingwell': 1})
What should I do in summer if I won’t use my dishwasher?	Turn off the water and power supply to the dishwasher when you’re not using it for a long time during summer.	Counter({'whatshouldidoinsummerifiwontusemydishwasher': 1})
How do I protect my dishwasher from freezing in winter?	Make sure the water supply lines are protected against freezing temperatures. Ice can damage your dishwasher and home.	Counter({'howdoiprotectmydishwasherfromfreezinginwinter': 1})
What do I need to do before storing my dishwasher for the winter?	Before winter storage, consider having your dishwasher winterized by authorized service personnel to avoid water damage.	Counter({'whatdoineedtodobeforestoringmydishwasherforthewinter': 1})
Can I run my dishwasher if the filters aren’t in place?	Do not use your dishwasher without the filters properly installed, or it may get damaged.	Counter({'canirunmydishwasherifthefiltersarentinplace': 1})
How should I clean my dishwasher if it smells bad?	A vinegar rinse can help remove odors. Just follow the instructions for cleaning the interior with vinegar.	Counter({'howshouldicleanmydishwasherifitsmellsbad': 1})
What is the best way to clean tough stains in my dishwasher?	Using a dishwasher cleaning product like affresh® can help remove tough stains. Follow the product directions for best results.	Counter({'whatisthebestwaytocleantoughstainsinmydishwasher': 1})
How do I know I am using the right amount of detergent?	For regular use, it's best to use a premeasured detergent tablet or pack. This helps ensure you use the right amount.	Counter({'howdoiknowiamusingtherightamountofdetergent': 1})
What if my dishes are still dirty after a wash?	Make sure the filters are clean and properly installed. Also, check that you are using enough detergent and loading the dishes correctly.	Counter({'whatifmydishesarestilldirtyafterawash': 1})
Is there anything I shouldn’t clean my dishwasher with?	Avoid using harsh chemicals or abrasive cleaners that could scratch or damage the interior and exterior of your dishwasher.	Counter({'isthereanythingishouldntcleanmydishwasherwith': 1})
How often should I clean my dishwasher?	It's a good idea to clean your dishwasher's filters regularly and do a thorough cleaning with vinegar or a dishwasher cleaner at least once a month.	Counter({'howoftenshouldicleanmydishwasher': 1})
Can I leave water in the dishwasher?	It's best to not leave standing water in your dishwasher. If you notice water after a cycle, check for drainage issues.	Counter({'canileavewaterinthedishwasher': 1})
Why isn't my dishwasher running?	Check if the door is closed tightly and latched. Make sure the right cycle is selected and that there is power to the dishwasher.	Counter({'whyisntmydishwasherrunning': 1})
What should I do if the clean light is flashing?	Look for the overfill protection float. It should move freely. Also, make sure the water supply is turned on and check for suds in the dishwasher.	Counter({'whatshouldidoifthecleanlightisflashing': 1})
How can I fix my dishwasher if it won't fill?	Press down on the overfill protection float to make sure it can move up and down freely.	Counter({'howcanifixmydishwasherifitwontfill': 1})
Why does my dishwasher run for a long time?	Try using the 1 Hour Wash cycle. Check if the water is hot enough and that the cycle time is normal for the selected wash.	Counter({'whydoesmydishwasherrunforalongtime': 1})
What should I check if there's water left in the dishwasher?	Make sure the cycle is complete and that the disposer knockout plug was removed during installation.	Counter({'whatshouldicheckifthereswaterleftinthedishwasher': 1})
Why is there detergent left in the dispenser?	Check if the cycle is complete. Look for items blocking the dispenser and make sure the detergent is not clumpy.	Counter({'whyistheredetergentleftinthedispenser': 1})
How do I remove white residue from the dishwasher?	Check if you used too much detergent or if the brand you are using creates excess foam. Try a different detergent if needed.	Counter({'howdoiremovewhiteresiduefromthedishwasher': 1})
What should I do if my dishwasher smells bad?	Clean the filters regularly and try running a vinegar rinse. You can also use a dishwasher cleaner once a month.	Counter({'whatshouldidoifmydishwashersmellsbad': 1})
Why is there condensation on my kitchen counter?	Check if the dishwasher is aligned with the countertop. Moisture from the dishwasher vent can cause this issue.	Counter({'whyistherecondensationonmykitchencounter': 1})
What can cause my dishwasher to pause during a wash?	It's normal for certain cycles to pause briefly. Make sure everything else is working properly if it pauses for too long.	Counter({'whatcancausemydishwashertopauseduringawash': 1})
How can I tell if the dishwasher is getting power?	Check if household fuses are blown or the circuit breaker has tripped. Replace the fuse or reset the breaker if needed.	Counter({'howcanitellifthedishwasherisgettingpower': 1})
What do I do if the motor stops in my dishwasher?	The motor will reset itself after a few minutes. If it does not restart, you may need to call for service.	Counter({'whatdoidoifthemotorstopsinmydishwasher': 1})
Is the overfill protection float important?	Yes, it helps the dishwasher fill with the correct amount of water. Make sure it can move freely.	Counter({'istheoverfillprotectionfloatimportant': 1})
What happens if I use the wrong detergent?	Using the wrong detergent can cause suds which may prevent the dishwasher from running properly. Always use the recommended dishwasher detergent.	Counter({'whathappensifiusethewrongdetergent': 1})
How do I clean the filters in my dishwasher?	Refer to the manual for the recommended time interval. Clean them regularly to keep the dishwasher running well.	Counter({'howdoicleanthefiltersinmydishwasher': 1})
Can I use a vinegar rinse in my dishwasher?	Yes, running a vinegar rinse can help eliminate odors. Follow the instructions in the manual for the best results.	Counter({'caniuseavinegarrinseinmydishwasher': 1})
What should I check after installing my dishwasher?	Make sure the water supply is turned on and that all connections are secure. Also, remove the disposer knockout plug if you haven’t already.	Counter({'whatshouldicheckafterinstallingmydishwasher': 1})
How do I prevent odor buildup in my dishwasher?	Run the dishwasher regularly, clean the filters, and use a dishwasher cleaner tablet monthly.	Counter({'howdoipreventodorbuildupinmydishwasher': 1})
Why is it important to replace the rinse aid dispenser cap?	Not replacing the rinse aid cap after filling can cause suds, which may prevent the dishwasher from working correctly.	Counter({'whyisitimportanttoreplacetherinseaiddispensercap': 1})
What's the best way to choose a wash cycle?	Select the cycle based on how dirty your dishes are. The manual has details on which cycle is best for different types of loads.	Counter({'whatsthebestwaytochooseawashcycle': 1})
Why does the bottom rack not fully slide into the dishwasher?	Check to see if items are blocking the spray jets or spray arm. Remove or reload the items to keep them from interfering.	Counter({'whydoesthebottomracknotfullyslideintothedishwasher': 1})
What can I do if my dishes do not dry completely?	Make sure you are using a rinse aid. It helps reduce moisture and improves drying. Also, use the heated drying option for better results.	Counter({'whatcanidoifmydishesdonotdrycompletely': 1})
Why are my plastics still wet after a wash?	Plastics often do not dry well in the dishwasher. You may need to towel dry them after the cycle is finished.	Counter({'whyaremyplasticsstillwetafterawash': 1})
How can I tell if I need more rinse aid?	Check the rinse aid indicator on the dishwasher. If it is empty or low, refill it for better drying performance.	Counter({'howcanitellifineedmorerinseaid': 1})
What causes spots and stains on my dishes?	Hard water or high mineral content in your water can cause spots. Using a rinse aid during the final rinse helps reduce this issue.	Counter({'whatcausesspotsandstainsonmydishes': 1})
What temperature should my water be for best cleaning?	The water temperature entering the dishwasher should be about 120°F (49°C) for the best cleaning results.	Counter({'whattemperatureshouldmywaterbeforbestcleaning': 1})
How much detergent should I use in the dishwasher?	Use at least 1 tablespoon (15 grams) of detergent per load. Make sure the detergent is fresh for it to work effectively.	Counter({'howmuchdetergentshouldiuseinthedishwasher': 1})
Is there a better type of detergent to use?	Dishwasher detergent tablets and packs are recommended as they are more effective than powder, liquid, or gel detergents.	Counter({'isthereabettertypeofdetergenttouse': 1})
What should I do if my glassware has spots?	Remove all metal items and run a vinegar rinse to help clean the glassware and reduce spots.	Counter({'whatshouldidoifmyglasswarehasspots': 1})
What is silica film on my dishes?	Silica film looks like a milky, rainbow color on glassware and is caused by the water and detergent. Using less detergent and a rinse aid can help.	Counter({'whatissilicafilmonmydishes': 1})
Why are my nonstick pans getting white spots?	The dishwasher detergent can remove the seasoning from nonstick cookware. Reseason the cookware after washing.	Counter({'whyaremynonstickpansgettingwhitespots': 1})
What can I do about brown stains on my dishes?	High iron content in your water can cause brown stains. Rinse the dishes with citric acid crystals and run a normal wash cycle.	Counter({'whatcanidoaboutbrownstainsonmydishes': 1})
How do I remove black or gray marks from my dishes?	These marks may come from aluminum items. Handwash disposable aluminum items to prevent marking, and use a mild abrasive cleaner to remove any marks.	Counter({'howdoiremoveblackorgraymarksfrommydishes': 1})
How can I fix orange stains on my plastic dishes?	Orange stains may come from tomato-based foods. Use a stain removal product to help clean them, but they won't affect how the dishwasher works.	Counter({'howcanifixorangestainsonmyplasticdishes': 1})
Why does my dishwasher make grinding sounds?	Grinding sounds may mean a hard object is stuck in the wash module. The noise should stop once the object is ground up. If it continues, you may need to call for service.	Counter({'whydoesmydishwashermakegrindingsounds': 1})
What does it mean when the dishwasher stops and starts frequently?	It is normal for the dishwasher to stop and start during the cycle. This helps with cleaning performance and saves energy.	Counter({'whatdoesitmeanwhenthedishwasherstopsandstartsfrequently': 1})
Why do I hear a hissing sound from the dishwasher?	A hissing sound is normal. It usually happens when the water valve fills the dishwasher.	Counter({'whydoihearahissingsoundfromthedishwasher': 1})
What should I do if my dishwasher is making a lot of noise?	Noises like snapping are normal when the detergent dispenser opens. If you hear unusual grinding or buzzing that doesn't stop, check for any objects inside.	Counter({'whatshouldidoifmydishwasherismakingalotofnoise': 1})
What should I check if my dishes are still dirty after a wash cycle?	Make sure not to overload the dishwasher. Allow enough space for water to reach all dishes. Use a proper amount of detergent too.	Counter({'whatshouldicheckifmydishesarestilldirtyafterawashcycle': 1})
Can I put aluminum items in the dishwasher?	It's best not to put disposable aluminum items in the dishwasher as they can break down and leave marks on other dishes.	Counter({'caniputaluminumitemsinthedishwasher': 1})
How can I solve the problem of filming on my dishes?	Use a rinse aid to help reduce filming. Also, ensure your water temperature is high enough and consider the quality of your detergent.	Counter({'howcanisolvetheproblemoffilmingonmydishes': 1})
Why are my dishes not completely clean after a wash?	Check if your dishwasher is loaded correctly first. If it's not, it can block water from reaching all the dishes.	Counter({'whyaremydishesnotcompletelycleanafterawash': 1})
What should I do if there's food left on my dishes?	Make sure to clean the filters regularly. Check your manual for how often to do this.	Counter({'whatshouldidoiftheresfoodleftonmydishes': 1})
Did I choose the right wash cycle?	If your dishes are heavily soiled, select a heavier wash cycle to get them clean.	Counter({'didichoosetherightwashcycle': 1})
What temperature should the water be when it enters the dishwasher?	The best water temperature for cleaning is 120°F (49°C). Make sure your water is this hot before starting.	Counter({'whattemperatureshouldthewaterbewhenitentersthedishwasher': 1})
How much detergent should I use?	Use at least 1 tablespoon (15 grams) of fresh, recommended dishwasher detergent for each load.	Counter({'howmuchdetergentshouldiuse': 1})
What if there’s caked detergent in the dispenser?	Clean the dispenser if you see caked detergent. Always use fresh detergent and avoid letting it sit in a wet dispenser.	Counter({'whatiftherescakeddetergentinthedispenser': 1})
Can labels from bottles clog the dishwasher?	Yes, if labels get stuck in the pump or spray arm, they can block water flow. Check and remove any labels.	Counter({'canlabelsfrombottlesclogthedishwasher': 1})
What water pressure do I need for my dishwasher?	Your home water pressure should be between 20 to 120 psi (138 to 828 kPa) for the dishwasher to fill properly.	Counter({'whatwaterpressuredoineedformydishwasher': 1})
Is it okay to use laundry detergent in my dishwasher?	No, you should only use recommended dishwasher detergents. Avoid using laundry soaps.	Counter({'isitokaytouselaundrydetergentinmydishwasher': 1})
How do I prevent my dishes from chipping?	Load the dishes so they are stable and won’t hit each other during washing. Pull the racks in and out gently.	Counter({'howdoipreventmydishesfromchipping': 1})
Should I wash delicate dishes in the dishwasher?	Antiques and delicate glassware may not be safe in the dishwasher. It's better to wash these items by hand.	Counter({'shouldiwashdelicatedishesinthedishwasher': 1})
What should I do if the dishwasher is making strange noises?	Check if there are any items stuck in the spray arms or if anything is blocking the pump.	Counter({'whatshouldidoifthedishwasherismakingstrangenoises': 1})
How can I keep my dishwasher clean?	Regularly clean the filters and wipe down the inside with a damp cloth to remove food residue.	Counter({'howcanikeepmydishwasherclean': 1})
How often should I clean the filters?	Refer to the manual for the recommended cleaning schedule for your dishwasher’s filters.	Counter({'howoftenshouldicleanthefilters': 1})
What happens if I don’t use enough detergent?	Not using enough detergent can result in dirty dishes. Always measure out at least 1 tablespoon.	Counter({'whathappensifidontuseenoughdetergent': 1})
Why are there spots on my clean dishes?	Spots can be caused by hard water. You might need to use a rinse aid to help with this.	Counter({'whyaretherespotsonmycleandishes': 1})
Is it safe to run the dishwasher at night?	Yes, it's safe to run the dishwasher at night as long as you follow all safety precautions.	Counter({'isitsafetorunthedishwasheratnight': 1})
Can I overload the dishwasher?	Avoid overloading, as it can block water and reduce cleaning effectiveness.	Counter({'canioverloadthedishwasher': 1})
What is the best way to load glasses?	Place glasses upside down on the top rack to prevent them from filling with water.	Counter({'whatisthebestwaytoloadglasses': 1})
How can I remove stuck-on food from dishes before loading?	Rinse off stuck-on food before loading. This helps the dishwasher clean better.	Counter({'howcaniremovestuckonfoodfromdishesbeforeloading': 1})
What should I do if my dishwasher leaks?	Turn it off and check for loose hoses or cracks in the door seal. You may need to call for help.	Counter({'whatshouldidoifmydishwasherleaks': 1})
How do I start my dishwasher?	To start your dishwasher, first load it with the dishes, ensuring they are facing the spray arms. Close the door and turn the dial or press the button for the wash cycle you want. Then, press the start button.	Counter({'howdoistartmydishwasher': 1})
What should I do if the dishwasher doesn't start?	Check to make sure the door is fully closed, as the dishwasher won't start if the door is open. Also, ensure it's plugged in and that the circuit breaker hasn't tripped.	Counter({'whatshouldidoifthedishwasherdoesntstart': 1})
How do I load dishes properly?	Place larger items like pots and pans on the bottom rack and smaller items like cups and glasses on the top rack. Make sure items don’t block the spray arms.	Counter({'howdoiloaddishesproperly': 1})
Can I wash plastic items in the dishwasher?	Yes, but make sure they are labeled as dishwasher safe. Place them on the top rack to avoid melting.	Counter({'caniwashplasticitemsinthedishwasher': 1})
Why are my dishes still dirty after washing?	This could happen if the dishwasher is overloaded, if the spray arms are clogged, or if you're using low-quality detergent. Make sure to load it properly and check the spray arms.	Counter({'whyaremydishesstilldirtyafterwashing': 1})
How often should I clean the dishwasher?	It's a good idea to clean the dishwasher every month. You can do this by checking for food debris and running an empty cycle with vinegar.	Counter({'howoftenshouldicleanthedishwasher': 1})
What kind of detergent should I use?	Look for a dishwasher detergent that is specifically made for dishwashers. Follow the instructions for how much to use on the package.	Counter({'whatkindofdetergentshouldiuse': 1})
How do I know if my dishwasher needs service?	If you notice leaks, strange noises, or if it stops working, it may need service. Also, if it consistently leaves dishes dirty, check the troubleshooting section.	Counter({'howdoiknowifmydishwasherneedsservice': 1})
What should I avoid putting in the dishwasher?	Avoid washing wooden items, non-dishwasher safe plastics, cast iron, and anything that has a non-stick coating that isn't labeled safe for the dishwasher.	Counter({'whatshouldiavoidputtinginthedishwasher': 1})
How can I fix a dishwasher that leaks?	First, check the door seal for any damage. Also, ensure the water inlet valve is working properly and that hoses are securely attached.	Counter({'howcanifixadishwasherthatleaks': 1})
What do I do if I smell something bad in the dishwasher?	Check for food debris stuck in the bottom or filter. Running a cycle with vinegar can help remove odors.	Counter({'whatdoidoifismellsomethingbadinthedishwasher': 1})
How do I clean the filter in my dishwasher?	Locate the filter at the bottom of the dishwasher, take it out, and rinse it under warm water to remove any debris. Let it dry before putting it back.	Counter({'howdoicleanthefilterinmydishwasher': 1})
Can I use regular dish soap in my dishwasher?	No, regular dish soap can cause too many bubbles and may damage the machine. Use only dishwasher-specific detergent.	Counter({'caniuseregulardishsoapinmydishwasher': 1})
What should I check if my dishwasher is making loud noises?	Check for loose items in the dishwasher that may be knocking around. Also, verify that the spray arms can spin freely without obstruction.	Counter({'whatshouldicheckifmydishwasherismakingloudnoises': 1})
How do I reset my dishwasher?	To reset your dishwasher, unplug it for a minute or turn off the circuit breaker. Then plug it back in or switch the breaker on.	Counter({'howdoiresetmydishwasher': 1})
Why is my dishwasher not draining?	Check for clogs in the drain hose or the filter. If those are clear and it still won't drain, it may need service.	Counter({'whyismydishwashernotdraining': 1})
How can I make my dishes dry better?	Try using a rinse aid, which helps water slide off dishes. You can also use a heated dry cycle if your dishwasher has one.	Counter({'howcanimakemydishesdrybetter': 1})
What is covered under the warranty for my dishwasher?	The warranty covers factory specified parts and repair labor for defects in materials or workmanship within one year of purchase.	Counter({'whatiscoveredunderthewarrantyformydishwasher': 1})
What is not covered under the warranty?	Damage from misuse, improper maintenance, and the use of non-genuine parts are not covered. Also, food loss due to machine failure won't be covered.	Counter({'whatisnotcoveredunderthewarranty': 1})
How do I get service for my dishwasher?	Call the Customer Experience Center on 1 800 12 34 56, or check the warranty information for authorized service providers in your area.	Counter({'howdoigetserviceformydishwasher': 1})
Who can I call?	Call the Customer Experience Center on 1 800 12 34 56, or check the warranty information for authorized service providers in your area.	Counter({'whocanicall': 1})